Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Joel Farabee,PHI,L,L,2000-02-25,Syracuse,NY,USA,USA,72,186,2018,1,14,20192020,N,63,17,17,34
Hudson Fasching,NYI,R,R,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20152016,N,11,0,0,0
Jesper Fast,CAR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,82,14,20,34
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,76,16,31,47
Martin Fehervary,WSH,L,D,1999-10-06,Bratislava,--,SVK,SVK,74,199,2018,2,46,20192020,N,79,8,9,17
Mario Ferraro,SJS,L,D,1998-09-17,Toronto,ON,CAN,CAN,72,209,2017,2,49,20192020,N,63,2,12,14
Kevin Fiala,LAK,L,L,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,82,33,52,85
Christian Fischer,DET,R,R,1997-04-15,Chicago,IL,USA,USA,74,212,2015,2,32,20162017,N,53,5,5,10
Casey Fitzgerald,FLA,R,D,1997-02-25,North Reading,MA,USA,USA,71,183,2016,3,86,20212022,N,36,0,6,6
Haydn Fleury,TBL,L,D,1996-07-08,Carlyle,SK,CAN,CAN,76,207,2014,1,7,20172018,N,36,2,2,4
Warren Foegele,EDM,L,L,1996-04-01,Markham,ON,CAN,CAN,74,204,2014,3,67,20172018,N,82,12,14,26
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,N,74,23,19,42
Nick Foligno,CHI,L,L,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,64,2,11,13
Cal Foote,NJD,R,D,1998-12-13,Denver,CO,USA,USA,77,224,2017,1,14,20202021,N,56,2,7,9
Derek Forbort,BOS,L,D,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20152016,N,76,4,10,14
Alex Formenton,OTT,L,L,1999-09-13,Barrie,ON,CAN,CAN,75,195,2017,2,47,20172018,N,79,18,14,32
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,69,42,42,84
Gustav Forsling,FLA,L,D,1996-06-12,Linkoping,--,SWE,SWE,72,195,2014,5,126,20162017,N,71,10,27,37
Gabriel Fortier,TBL,L,L,2000-02-06,Lachine,QC,CAN,CAN,71,181,2018,2,59,20212022,N,10,1,0,1
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,1,12,20102011,N,76,9,33,42
Adam Fox,NYR,R,D,1998-02-17,Jericho,NY,USA,USA,71,185,2016,3,66,20192020,N,78,11,63,74
Trent Frederic,BOS,L,C,1998-02-11,St. Louis,MO,USA,USA,75,220,2016,1,29,20182019,N,60,8,10,18
Mark Friedman,VAN,R,D,1995-12-25,Toronto,ON,CAN,CAN,71,185,2014,3,86,20182019,N,26,1,4,5
Morgan Frost,PHI,L,C,1999-05-14,Aurora,ON,CAN,CAN,72,193,2017,1,27,20192020,N,55,5,11,16
Jonah Gadjovich,FLA,L,L,1998-10-12,Whitby,ON,CAN,CAN,74,209,2017,2,55,20202021,N,43,1,2,3
Sam Gagner,EDM,R,C,1989-08-10,London,ON,CAN,CAN,71,200,2007,1,6,20072008,N,81,13,18,31
Alex Galchenyuk,--,L,C,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,1,3,20122013,N,60,6,15,21
Brendan Gallagher,MTL,R,R,1992-05-06,Edmonton,AB,CAN,CAN,69,183,2010,5,147,20122013,N,56,7,17,24
Dylan Gambrell,TOR,R,C,1996-08-26,Bonney Lake,WA,USA,USA,72,190,2016,2,60,20172018,N,63,3,4,7
Conor Garland,VAN,R,R,1996-03-11,Scituate,MA,USA,USA,70,165,2015,5,123,20182019,N,77,19,33,52
Adam Gaudette,STL,R,C,1996-10-03,Braintree,MA,USA,USA,73,194,2015,5,149,20172018,N,58,5,9,14
Frederick Gaudreau,MIN,R,C,1993-05-01,Bromont,QC,CAN,CAN,72,184,--,--,--,20162017,N,76,14,30,44
Johnny Gaudreau,CBJ,L,L,1993-08-13,Salem,NJ,USA,USA,69,163,2011,4,104,20132014,N,82,40,75,115
Brendan Gaunce,CBJ,L,C,1994-03-25,Sudbury,ON,CAN,CAN,75,219,2012,1,26,20152016,N,30,5,2,7
Julien Gauthier,NYI,R,R,1997-10-15,Pointe-aux-Trembles,QC,CAN,CAN,76,226,2016,1,21,20192020,N,49,3,4,7
Vladislav Gavrikov,LAK,L,D,1995-11-21,Yaroslavl,--,RUS,RUS,75,220,2015,6,159,20192020,N,80,5,28,33
Morgan Geekie,BOS,R,C,1998-07-20,Strathclair,MB,CAN,CAN,75,202,2017,3,67,20192020,N,73,7,15,22
Mason Geertsen,VGK,L,L,1995-04-19,Drayton Valley,AB,CAN,CAN,76,228,2013,4,93,20212022,N,25,0,0,0
Ryan Getzlaf,--,R,C,1985-05-10,Regina,SK,CAN,CAN,76,220,2003,1,19,20052006,N,56,3,34,37
Mark Giordano,TOR,L,D,1983-10-03,Toronto,ON,CAN,CAN,72,202,--,--,--,20052006,N,75,8,27,35
Samuel Girard,COL,L,D,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,67,5,23,28
Zemgus Girgensons,BUF,L,L,1994-01-05,Riga,--,LVA,LVA,74,200,2012,1,14,20132014,N,56,10,8,18
Claude Giroux,OTT,R,R,1988-01-12,Hearst,ON,CAN,CAN,71,188,2006,1,22,20072008,N,75,21,44,65
Luke Glendening,TBL,R,C,1989-04-28,Grand Rapids,MI,USA,USA,70,190,--,--,--,20132014,N,82,9,7,16
Alex Goligoski,MIN,L,D,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,2,61,20072008,N,72,2,28,30
Barclay Goodrow,NYR,L,C,1993-02-26,Toronto,ON,CAN,CAN,74,209,--,--,--,20142015,N,79,13,20,33
Shayne Gostisbehere,DET,L,D,1993-04-20,Pembroke Pines,FL,USA,USA,71,183,2012,3,78,20142015,N,82,14,37,51
Yanni Gourde,SEA,L,C,1991-12-15,Saint-Narcisse,QC,CAN,CAN,69,174,--,--,--,20152016,N,74,21,27,48
Mikael Granlund,SJS,L,C,1992-02-26,Oulu,--,FIN,FIN,70,185,2010,1,9,20122013,N,80,11,53,64
Derek Grant,--,L,C,1990-04-20,Abbotsford,BC,CAN,CAN,75,210,2008,4,119,20122013,N,71,15,14,29
Ryan Graves,PIT,L,D,1995-05-21,Yarmouth,NS,CAN,CAN,77,220,2013,4,110,20182019,N,75,6,22,28
Andy Greene,--,L,D,1982-10-30,Trenton,MI,USA,USA,71,190,--,--,--,20062007,N,69,2,8,10
Jordan Greenway,BUF,L,L,1997-02-16,Canton,NY,USA,USA,78,231,2015,2,50,20172018,N,62,10,17,27
Noah Gregor,TOR,L,C,1998-07-28,Beaumont,AB,CAN,CAN,72,192,2016,4,111,20192020,N,63,8,15,23
Bo Groulx,ANA,L,C,2000-02-06,Rouen,--,FRA,CAN,74,198,2018,2,54,20212022,N,18,1,2,3
Carl Grundstrom,LAK,L,R,1997-12-01,Umea,--,SWE,SWE,72,200,2016,2,57,20182019,N,54,9,6,15
Matt Grzelcyk,BOS,L,D,1994-01-05,Charlestown,MA,USA,USA,70,180,2012,3,85,20162017,N,73,4,20,24
Radko Gudas,ANA,R,D,1990-06-05,Prague,--,CZE,CZE,72,208,2010,3,66,20122013,N,77,3,13,16
Erik Gudbranson,CBJ,R,D,1992-01-07,Ottawa,ON,CAN,CAN,77,222,2010,1,3,20112012,N,78,6,11,17
Jake Guentzel,CAR,L,C,1994-10-06,Omaha,NE,USA,USA,71,180,2013,3,77,20162017,N,76,40,44,84
Denis Gurianov,PHI,L,R,1997-06-07,Togliatti,--,RUS,RUS,75,205,2015,1,12,20162017,N,73,11,20,31
Erik Gustafsson,NYR,L,D,1992-03-14,Nynashamn,--,SWE,SWE,73,189,2012,4,93,20152016,N,59,3,15,18
Brandon Hagel,TBL,L,L,1998-08-27,Saskatoon,SK,CAN,CAN,74,183,2016,6,159,20192020,N,77,25,19,44
Carl Hagelin,--,L,L,1988-08-23,Sodertalje,--,SWE,SWE,72,183,2007,6,168,20112012,N,53,3,11,14
Robert Hagg,ANA,L,D,1995-02-08,Uppsala,--,SWE,SWE,74,210,2013,2,41,20162017,N,64,1,8,9
Nicolas Hague,VGK,L,D,1998-12-05,Kitchener,ON,CAN,CAN,78,240,2017,2,34,20192020,N,52,4,10,14
Libor Hajek,--,L,D,1998-02-04,Smrcek,--,CZE,CZE,74,209,2016,2,37,20182019,N,17,0,1,1
Jani Hakanpää,DAL,R,D,1992-03-31,Kirkkonummi,--,FIN,FIN,79,222,2010,4,104,20192020,N,80,4,8,12
Taylor Hall,CHI,L,L,1991-11-14,Calgary,AB,CAN,CAN,73,210,2010,1,1,20102011,N,81,20,41,61
Dougie Hamilton,NJD,R,D,1993-06-17,Toronto,ON,CAN,CAN,78,230,2011,1,9,20122013,N,62,9,21,30
Travis Hamonic,OTT,R,D,1990-08-16,St. Malo,MB,CAN,CAN,73,200,2008,2,53,20102011,N,43,4,6,10
Noah Hanifin,VGK,L,D,1997-01-25,Boston,MA,USA,USA,75,207,2015,1,5,20152016,N,81,10,38,48
Joel Hanley,CGY,L,D,1991-06-08,Keswick,ON,CAN,CAN,71,186,--,--,--,20152016,N,44,2,4,6
Mike Hardman,CHI,L,L,1999-02-05,Hanover,MA,USA,USA,74,205,--,--,--,20202021,N,21,0,2,2
Jansen Harkins,PIT,L,C,1997-05-23,Cleveland,OH,USA,USA,74,197,2015,2,47,20192020,N,77,7,6,13
Thomas Harley,DAL,L,D,2001-08-19,Syracuse,NY,USA,USA,76,206,2019,1,18,20212022,N,34,1,3,4
Ben Harpur,NYR,L,D,1995-01-12,Hamilton,ON,CAN,CAN,78,230,2013,4,108,20152016,N,19,0,1,1
Jordan Harris,MTL,L,D,2000-07-07,Haverhill,MA,USA,USA,71,189,2018,3,71,20212022,N,10,1,0,1
Ryan Hartman,MIN,R,R,1994-09-20,Hilton Head Island,SC,USA,USA,72,197,2013,1,30,20142015,N,82,34,31,65
Garnet Hathaway,PHI,R,R,1991-11-23,Naples,FL,USA,USA,74,212,--,--,--,20152016,N,76,14,12,26
Erik Haula,NJD,L,L,1991-03-23,Pori,--,FIN,FIN,71,191,2009,7,182,20132014,N,78,18,26,44
John Hayden,SEA,R,C,1995-02-14,Chicago,IL,USA,USA,75,223,2013,3,74,20162017,N,55,2,2,4
Kevin Hayes,STL,L,R,1992-05-08,Dorchester,MA,USA,USA,77,216,2010,1,24,20142015,N,48,10,21,31
Barrett Hayton,ARI,L,C,2000-06-09,Peterborough,ON,CAN,CAN,73,207,2018,1,5,20192020,N,60,10,14,24
Victor Hedman,TBL,L,D,1990-12-18,Ornskoldsvik,--,SWE,SWE,79,246,2009,1,2,20092010,N,82,20,65,85
Danton Heinen,BOS,L,L,1995-07-05,Langley,BC,CAN,CAN,74,195,2014,4,116,20162017,N,76,18,15,33
Ville Heinola,WPG,L,D,2001-03-02,Honkajoki,--,FIN,FIN,72,181,2019,1,20,20192020,N,12,0,5,5
Miro Heiskanen,DAL,L,D,1999-07-18,Espoo,--,FIN,FIN,74,197,2017,1,3,20182019,N,70,5,31,36
Darren Helm,--,L,C,1987-01-21,St. Andrews,MB,CAN,CAN,72,192,2005,5,132,20072008,N,68,7,8,15
Adam Henrique,EDM,L,C,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,3,82,20102011,N,58,19,23,42
Tomas Hertl,VGK,L,C,1993-11-12,Praha,--,CZE,CZE,75,215,2012,1,17,20132014,N,82,30,34,64
Matthew Highmore,OTT,L,C,1996-02-27,Halifax,NS,CAN,CAN,71,188,--,--,--,20172018,N,46,5,7,12
Vinnie Hinostroza,PIT,R,C,1994-04-03,Chicago,IL,USA,USA,70,183,2012,6,169,20152016,N,62,13,12,25
Roope Hintz,DAL,L,C,1996-11-17,Nokia,--,FIN,FIN,75,212,2015,2,49,20182019,N,80,37,35,72
Taro Hirose,DET,L,L,1996-06-30,Calgary,AB,CAN,CAN,70,162,--,--,--,20182019,N,15,1,3,4
Nico Hischier,NJD,L,C,1999-01-04,Brig,--,CHE,CHE,73,175,2017,1,1,20172018,N,70,21,39,60
Mike Hoffman,SJS,L,C,1989-11-24,Kitchener,ON,CAN,CAN,72,190,2009,5,130,20112012,N,67,15,20,35
Gregory Hofmann,--,L,C,1992-11-13,Biel,--,CHE,CHE,72,194,2011,4,103,20212022,N,24,2,5,7
Nils Hoglander,VAN,L,L,2000-12-20,BOCKTRäSK,--,SWE,SWE,69,185,2019,2,40,20202021,N,60,10,8,18
Nick Holden,--,L,D,1987-05-15,St. Albert,AB,CAN,CAN,76,210,--,--,--,20102011,N,76,5,14,19
Justin Holl,DET,R,D,1992-01-30,Tonka Bay,MN,USA,USA,76,194,2010,2,54,20172018,N,69,3,20,23
Patric Hornqvist,--,R,R,1987-01-01,Sollentuna,--,SWE,SWE,71,189,2005,7,230,20082009,N,65,11,17,28
Bo Horvat,NYI,L,C,1995-04-05,London,ON,CAN,CAN,73,213,2013,1,9,20142015,N,70,31,21,52
Brett Howden,VGK,L,C,1998-03-29,Calgary,AB,CAN,CAN,74,200,2016,1,27,20182019,N,47,9,11,20
Filip Hronek,VAN,R,D,1997-11-02,Hradec Kralove,--,CZE,CZE,72,190,2016,2,53,20182019,N,78,5,33,38
Jonathan Huberdeau,CGY,L,C,1993-06-04,Saint-Jerome,QC,CAN,CAN,73,200,2011,1,3,20122013,N,80,30,85,115
Jack Hughes,NJD,L,C,2001-05-14,Orlando,FL,USA,USA,71,175,2019,1,1,20192020,N,49,26,30,56
Quinn Hughes,VAN,L,D,1999-10-14,Orlando,FL,USA,USA,70,180,2018,1,7,20182019,N,76,8,60,68
Brad Hunt,COL,L,D,1988-08-24,Maple Ridge,BC,CAN,CAN,69,177,--,--,--,20132014,N,50,3,14,17
Dryden Hunt,CGY,L,L,1995-11-24,Cranbrook,BC,CAN,CAN,72,193,--,--,--,20172018,N,76,6,11,17
Ben Hutton,VGK,L,D,1993-04-20,Brockville,ON,CAN,CAN,75,201,2012,5,147,20152016,N,58,3,10,13
Grant Hutton,NYI,R,D,1995-07-25,Carmel,IN,USA,USA,75,206,--,--,--,20212022,N,16,1,0,1
Zach Hyman,EDM,R,L,1992-06-09,Toronto,ON,CAN,CAN,73,206,2010,5,123,20152016,N,76,27,27,54
Alex Iafallo,WPG,L,L,1993-12-21,Eden,NY,USA,USA,72,201,--,--,--,20172018,N,79,17,20,37
Matt Irwin,VAN,L,D,1987-11-29,Victoria,BC,CAN,CAN,74,200,--,--,--,20122013,N,17,1,3,4
Mark Jankowski,NSH,L,C,1994-09-13,Hamilton,ON,CAN,CAN,76,212,2012,1,21,20162017,N,19,2,3,5
Mattias Janmark,EDM,L,C,1992-12-08,Danderyd,--,SWE,SWE,74,205,2013,3,79,20152016,N,67,9,16,25
Calle Jarnkrok,TOR,R,C,1991-09-25,Gavle,--,SWE,SWE,72,190,2010,2,51,20132014,N,66,12,18,30
Christian Jaros,--,R,D,1996-04-02,Kosice,--,SVK,SVK,75,222,2015,5,139,20172018,N,11,0,0,0
Seth Jarvis,CAR,R,C,2002-02-01,Winnipeg,MB,CAN,CAN,70,175,2020,1,13,20212022,N,68,17,23,40
Dmitrij Jaskin,--,L,R,1993-03-23,Omsk,--,RUS,CZE,74,216,2011,2,41,20122013,N,12,0,1,1
Tanner Jeannot,TBL,L,L,1997-05-29,Estevan,SK,CAN,CAN,74,220,--,--,--,20202021,N,81,24,17,41
Jan Jenik,ARI,L,R,2000-09-15,Nymburk,--,CZE,CZE,73,185,2018,3,65,20202021,N,13,2,1,3
Boone Jenner,CBJ,L,C,1993-06-15,Dorchester,ON,CAN,CAN,74,208,2011,2,37,20132014,N,59,23,21,44
Nick Jensen,WSH,R,D,1990-09-21,Rogers,MN,USA,USA,73,205,2009,5,150,20162017,N,76,5,16,21
Ryan Johansen,PHI,R,C,1992-07-31,Vancouver,BC,CAN,CAN,75,218,2010,1,4,20112012,N,79,26,37,63
Marcus Johansson,MIN,L,L,1990-10-06,Landskrona,--,SWE,SWE,73,203,2009,1,24,20102011,N,69,9,20,29
Erik Johnson,PHI,R,D,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,1,1,20072008,N,77,8,17,25
Jack Johnson,COL,L,D,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,1,3,20062007,N,74,1,8,9
Reese Johnson,CHI,R,C,1998-07-10,Regina,SK,CAN,CAN,73,193,--,--,--,20202021,N,37,1,5,6
Tyler Johnson,CHI,R,C,1990-07-29,Spokane,WA,USA,USA,68,185,--,--,--,20122013,N,26,3,4,7
Andreas Johnsson,--,L,L,1994-11-21,Gavle,--,SWE,SWE,70,195,2013,7,202,20172018,N,71,13,22,35
Ross Johnston,ANA,L,L,1994-02-18,Charlottetown,PE,CAN,CAN,77,234,--,--,--,20152016,N,32,2,5,7
Henri Jokiharju,BUF,R,D,1999-06-17,Oulu,--,FIN,FIN,72,200,2017,1,29,20182019,N,60,3,16,19
Caleb Jones,COL,L,D,1997-06-06,Arlington,TX,USA,USA,73,194,2015,4,117,20182019,N,51,5,10,15
Seth Jones,CHI,R,D,1994-10-03,Arlington,TX,USA,USA,76,213,2013,1,4,20132014,N,78,5,46,51
Zac Jones,NYR,L,D,2000-10-18,Richmond,VA,USA,USA,70,176,2019,3,68,20202021,N,12,0,2,2
Axel Jonsson-Fjallby,WPG,L,L,1998-02-10,Stockholm,--,SWE,SWE,73,189,2016,5,147,20212022,N,23,2,2,4
Mathieu Joseph,OTT,L,R,1997-02-09,Laval,QC,CAN,CAN,73,186,2015,4,120,20182019,N,69,12,18,30
Dakota Joshua,VAN,L,C,1996-05-15,Dearborn,MI,USA,USA,75,206,2014,5,128,20202021,N,30,3,5,8
Roman Josi,NSH,L,D,1990-06-01,Bern,--,CHE,CHE,73,201,2008,2,38,20112012,N,80,23,73,96
Tyson Jost,BUF,L,C,1998-03-14,St. Albert,AB,CAN,CAN,71,187,2016,1,10,20162017,N,80,8,12,20
Olli Juolevi,--,L,D,1998-05-05,Helsinki,--,FIN,FIN,74,182,2016,1,5,20202021,N,18,0,0,0
Nazem Kadri,CGY,L,C,1990-10-06,London,ON,CAN,CAN,72,185,2009,1,7,20092010,N,71,28,59,87
Kaapo Kakko,NYR,L,R,2001-02-13,Turku,--,FIN,FIN,74,205,2019,1,2,20192020,N,43,7,11,18
Arthur Kaliyev,LAK,L,R,2001-06-26,Tashkent,--,UZB,USA,74,210,2019,2,33,20202021,N,80,14,13,27
David Kampf,TOR,L,C,1995-01-12,Chomutov,--,CZE,CZE,74,190,--,--,--,20172018,N,82,11,15,26
Evander Kane,EDM,L,L,1991-08-02,Vancouver,BC,CAN,CAN,74,218,2009,1,4,20092010,N,43,22,17,39
Patrick Kane,DET,L,R,1988-11-19,Buffalo,NY,USA,USA,70,177,2007,1,1,20072008,N,78,26,66,92
Kasperi Kapanen,STL,R,R,1996-07-23,Kuopio,--,FIN,FIN,73,194,2014,1,22,20152016,N,79,11,21,32
Kirill Kaprizov,MIN,L,L,1997-04-26,Novokuznetsk,--,RUS,RUS,70,202,2015,5,135,20202021,N,81,47,61,108
Erik Karlsson,PIT,R,D,1990-05-31,Landsbro,--,SWE,SWE,72,190,2008,1,15,20092010,N,50,10,25,35
William Karlsson,VGK,L,C,1993-01-08,Marsta,--,SWE,SWE,72,190,2011,2,53,20142015,N,67,12,23,35
Ondrej Kase,--,R,R,1995-11-08,Kadan,--,CZE,CZE,72,187,2014,7,205,20162017,N,50,14,13,27
Zack Kassian,--,R,R,1991-01-24,Windsor,ON,CAN,CAN,75,211,2009,1,13,20112012,N,58,6,13,19
Mark Kastelic,OTT,R,C,1999-03-11,Phoenix,AZ,USA,USA,76,226,2019,5,125,20212022,N,16,2,2,4
Boris Katchouk,OTT,L,L,1998-06-18,Vancouver,BC,CAN,CAN,74,206,2016,2,44,20212022,N,59,3,4,7
Duncan Keith,--,L,D,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,2,54,20052006,N,64,1,20,21
Clayton Keller,ARI,L,R,1998-07-29,Chesterfield,MO,USA,USA,70,178,2016,1,7,20162017,N,67,28,35,63
Parker Kelly,OTT,L,L,1999-05-14,Camrose,AB,CAN,CAN,73,185,--,--,--,20202021,N,41,7,5,12
Adrian Kempe,LAK,L,R,1996-09-13,Kramfors,--,SWE,SWE,74,200,2014,1,29,20162017,N,78,35,19,54
Michal Kempny,--,L,D,1990-09-08,Hodonin,--,CZE,CZE,73,190,--,--,--,20162017,N,15,1,1,2
Alex Kerfoot,ARI,L,C,1994-08-11,Vancouver,BC,CAN,CAN,71,186,2012,5,150,20172018,N,82,13,38,51
Tanner Kero,--,L,C,1992-07-24,Hancock,MI,USA,USA,72,180,--,--,--,20152016,N,23,0,3,3
Phil Kessel,--,R,R,1987-10-02,Madison,WI,USA,USA,71,208,2006,1,5,20062007,N,82,8,44,52
Jujhar Khaira,MIN,L,L,1994-08-13,Surrey,BC,CAN,CAN,76,212,2012,3,63,20152016,N,27,3,0,3
Matt Kiersted,FLA,L,D,1998-04-14,Elk River,MN,USA,USA,72,181,--,--,--,20202021,N,10,1,1,2
Alex Killorn,ANA,L,L,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,3,77,20122013,N,82,25,34,59
Joel Kiviranta,COL,L,L,1996-03-23,Vantaa,--,FIN,FIN,71,185,--,--,--,20192020,N,56,1,6,7
John Klingberg,TOR,R,D,1992-08-14,Gothenburg,--,SWE,SWE,74,185,2010,5,131,20142015,N,74,6,41,47
Slater Koekkoek,--,L,D,1994-02-18,Winchester,ON,CAN,CAN,74,193,2012,1,10,20142015,N,19,0,4,4
Keegan Kolesar,VGK,R,R,1997-04-08,Brandon,MB,CAN,CAN,74,216,2015,3,69,20192020,N,77,7,17,24
Vladislav Kolyachonok,ARI,L,D,2001-05-26,Minsk,--,BLR,BLR,73,193,2019,2,52,20212022,N,32,1,2,3
Travis Konecny,PHI,R,R,1997-03-11,London,ON,CAN,CAN,70,192,2015,1,24,20162017,N,79,16,36,52
Anze Kopitar,LAK,L,C,1987-08-24,Jesenice,--,SVN,SVN,75,225,2005,1,11,20062007,N,81,19,48,67
Klim Kostin,SJS,L,C,1999-05-05,Penza,--,RUS,RUS,76,232,2017,1,31,20192020,N,40,4,5,9
Jesperi Kotkaniemi,CAR,L,C,2000-07-06,Pori,--,FIN,FIN,74,201,2018,1,3,20182019,N,66,12,17,29
Peyton Krebs,BUF,L,C,2001-01-26,Calgary,AB,CAN,CAN,72,186,2019,1,17,20202021,N,57,7,15,22
Chris Kreider,NYR,L,L,1991-04-30,Boxford,MA,USA,USA,75,233,2009,1,19,20122013,N,81,52,25,77
Torey Krug,STL,L,D,1991-04-12,Livonia,MI,USA,USA,69,194,--,--,--,20112012,N,64,9,34,43
Dominik Kubalik,OTT,L,L,1995-08-21,Plzen,--,CZE,CZE,74,192,2013,7,191,20192020,N,78,15,17,32
Nikita Kucherov,TBL,L,R,1993-06-17,Maykop,--,RUS,RUS,71,182,2011,2,58,20132014,N,47,25,44,69
Karson Kuhlman,NYI,R,C,1995-09-26,Esko,MN,USA,USA,71,184,--,--,--,20182019,N,44,3,7,10
Dean Kukan,--,L,D,1993-07-08,Volketswil,--,CHE,CHE,74,190,--,--,--,20152016,N,41,3,8,11
Brett Kulak,EDM,L,D,1994-01-06,Edmonton,AB,CAN,CAN,74,192,2012,4,105,20142015,N,74,5,16,21
Dmitry Kulikov,FLA,L,D,1990-10-29,Lipetsk,--,RUS,RUS,73,201,2009,1,14,20092010,N,80,7,17,24
Luke Kunin,SJS,R,C,1997-12-04,Chesterfield,MO,USA,USA,72,197,2016,1,15,20172018,N,82,13,9,22
Janne Kuokkanen,--,L,C,1998-05-25,Oulunsalo,--,FIN,FIN,73,193,2016,2,43,20172018,N,57,6,11,17
Rasmus Kupari,WPG,R,C,2000-03-15,Kotka,--,FIN,FIN,74,201,2018,1,20,20202021,N,57,5,8,13
Sean Kuraly,CBJ,L,C,1993-01-20,Niagara Falls,NY,USA,USA,74,215,2011,5,133,20162017,N,77,14,16,30
Philipp Kurashev,CHI,L,C,1999-10-12,Munsingen,--,CHE,CHE,72,190,2018,4,120,20202021,N,67,6,15,21
Evgeny Kuznetsov,CAR,L,C,1992-05-19,Chelyabinsk,--,RUS,RUS,74,207,2010,1,26,20132014,N,79,24,54,78
Oliver Kylington,CGY,L,D,1997-05-19,Stockholm,--,SWE,SWE,72,183,2015,2,60,20152016,N,73,9,22,31
Jordan Kyrou,STL,R,C,1998-05-05,Toronto,ON,CAN,CAN,73,196,2016,2,35,20182019,N,74,27,48,75
Kevin Labanc,SJS,R,R,1995-12-12,Brooklyn,NY,USA,USA,71,185,2014,6,171,20162017,N,21,3,3,6
Andrew Ladd,--,L,L,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,1,4,20052006,N,51,7,5,12
Sam Lafferty,VAN,R,C,1995-03-06,Hollidaysburg,PA,USA,USA,74,205,2014,4,113,20192020,N,56,5,8,13
Alexis Lafrenière,NYR,L,L,2001-10-11,St-Eustache,QC,CAN,CAN,73,194,2020,1,1,20202021,N,79,19,12,31
William Lagesson,ANA,L,D,1996-02-22,Gothenburg,--,SWE,SWE,74,211,2014,4,91,20192020,N,33,0,5,5
Patrik Laine,CBJ,R,L,1998-04-19,Tampere,--,FIN,FIN,77,215,2016,1,2,20162017,N,56,26,30,56
Juho Lammikko,--,L,L,1996-01-29,Noormarkku,--,FIN,FIN,74,191,2014,3,65,20182019,N,75,7,8,15
Gabriel Landeskog,COL,L,L,1992-11-23,Stockholm,--,SWE,SWE,73,215,2011,1,2,20112012,N,51,30,29,59
Dylan Larkin,DET,L,C,1996-07-30,Waterford,MI,USA,USA,73,199,2014,1,15,20152016,N,71,31,38,69
Adam Larsson,SEA,R,D,1992-11-12,Skelleftea,--,SWE,SWE,75,209,2011,1,4,20112012,N,82,8,17,25
Johan Larsson,--,L,L,1992-07-25,Lau,--,SWE,SWE,71,206,2010,2,56,20122013,N,43,7,14,21
Scott Laughton,PHI,L,C,1994-05-30,Oakville,ON,CAN,CAN,73,191,2012,1,20,20122013,N,67,11,19,30
Jeremy Lauzon,NSH,L,D,1997-04-28,Val-d'Or,QC,CAN,CAN,75,225,2015,2,52,20182019,N,66,2,5,7
Curtis Lazar,NJD,R,C,1995-02-02,Salmon Arm,BC,CAN,CAN,72,203,2013,1,17,20142015,N,70,8,8,16
Brett Leason,ANA,R,R,1999-04-30,Calgary,AB,CAN,CAN,77,218,2019,2,56,20212022,N,36,3,3,6
Nick Leddy,STL,L,D,1991-03-20,Eden Prairie,MN,USA,USA,72,205,2009,1,16,20102011,N,75,3,21,24
Anders Lee,NYI,L,L,1990-07-03,Edina,MN,USA,USA,75,227,2009,6,152,20122013,N,76,28,18,46
Artturi Lehkonen,COL,L,L,1995-07-04,Piikkio,--,FIN,FIN,71,179,2013,2,55,20162017,N,74,19,19,38
Brendan Lemieux,CAR,L,L,1996-03-15,Denver,CO,USA,USA,73,215,2014,2,31,20172018,N,50,8,5,13
John Leonard,ARI,L,L,1998-08-07,Westwood,NJ,USA,USA,71,196,2018,6,182,20202021,N,14,1,1,2
Jake Leschyshyn,NYR,L,C,1999-03-10,Raleigh,NC,USA,USA,71,198,2017,2,62,20212022,N,41,2,4,6
Kris Letang,PIT,R,D,1987-04-24,Montréal,QC,CAN,CAN,72,201,2005,3,62,20062007,N,78,10,58,68
